team,b_r,b_h,b_hr,p_er,win,loss,win_percentage
MIN,4,6,1,6,0,1,0.0
HOU,10,12,1,4,1,0,1.0
PHI,0,5,0,8,0,1,0.0
NYN,9,10,2,0,1,0,1.0
TEX,5,14,1,10,0,1,0.0
OAK,11,14,1,5,1,0,1.0
ARI,2,6,0,1,1,0,1.0
PIT,1,7,0,2,0,1,0.0
SEA,3,7,0,4,0,1,0.0
SDN,6,8,3,3,1,0,1.0
MIL,3,5,3,4,0,1,0.0
SLN,4,11,1,3,1,0,1.0
KCA,2,6,1,5,0,1,0.0
TBA,5,7,1,2,1,0,1.0
SFN,7,10,4,6,1,0,1.0
